parish,census_tract,cancer_cases,annual_population,meidan_age,percent_black,percent_poverty,percent_manufacturing,percent_construction,percent_smokers,percent_obese,state,point_cancer_risk,nonpoint_cancer_risk,relative_point_cancer_risk,relative_nonpoint_cancer_risk
Assumption,22007050100,204,3725,45.5,0.6350114416475973,0.02545766590389016,0.08695652173913043,0.017448512585812356,23.5,32.8,LA,2.071803854e-6,1.110970447e-6,0.25548657059698504,-0.84051159397032
Assumption,22007050300,206,3817,29.9,0.5294261893084845,0.06596370769985287,0.07037763609612555,0.02893575282000981,23.5,32.8,LA,1.419039658e-6,9.27646446e-7,0.0018845512909510024,-0.877911714024428
Assumption,22007050400,162,3018,36.5,0.27068403908794786,0.033876221498371335,0.06123778501628664,0.08599348534201955,23.5,32.8,LA,1.051266687e-6,1.090843786e-6,-0.14099701093826705,-0.8446176550075125
Assumption,22007050500,156,2920,50.9,0.43796770382040173,0.015754233950374164,0.04214257581725089,0.04096100827097282,23.5,32.8,LA,6.37830406e-7,8.61944458e-7,-0.30161898799899556,-0.8913156449095802
Assumption,22007050600,202,4129,35.8,0.020026007802340703,0.07282184655396619,0.06996098829648895,0.07048114434330299,23.5,32.8,LA,4.32307228e-7,8.49390184e-7,-0.3814657278698102,-0.8938768554015559
Avoyelles,22009030100,130,2456,42.8,0.05081898362032759,0.02897942041159177,0.03359932801343973,0.05963880722385552,29.9,34.3,LA,1.2946052e-8,7.76540341e-7,-0.544389555040247,-0.9087390276172002
Avoyelles,22009030200,170,2686,41.7,0.028246641405442644,0.10024112986565621,0.06648294867378574,0.03238029624526352,29.9,34.3,LA,1.3895991e-8,1.3789797e-6,-0.5440204991850182,-0.7858347476046782
Avoyelles,22009030300,203,3410,35,0.1370767960363336,0.08835672997522709,0.01486374896779521,0.06991467107074044,29.9,34.3,LA,3.3959526e-8,1.454572416e-6,-0.536225719658818,-0.7704129990164172
Beauregard,22011960200,245,4824,38,0.10003317850033179,0.00829462508294625,0.06818181818181818,0.04960185799601858,25.1,30.8,LA,4.48216697e-7,3.595647196e-6,-0.37528482289798365,-0.3336101069781684
Beauregard,22011960300,234,4403,34.4,0.38566552901023893,0.06313993174061433,0.04339346660165773,0.020477815699658702,25.1,30.8,LA,2.2950368e-7,4.204969441e-6,-0.4602558784485166,-0.20930164223634448
