Participant_ID,Country,Partner,Gender,Town,District,Age_Group,Savings_Program,Leadership_Program,Agriculture_Program,Literacy_Program,n_Programs,FFS,FDS,Months_Enough_Food,Months_Insufficient_Food,Business_Plan,Management_Confidence,Sustainable_Ag_Practices,Minimum_Tillage,Soil_Covered,Crop_Rotation,All_Sustainable_Practices,Increased_Yield,Drought_Disease_Resistance,Sustainable_Useful,Literacy_Helped,Increased_Knowledge,Food_Ran_Out,Vegetables,Fruits
292,Tanzania,geita,male,Nyarutembo,Chato,under_30,yes,no,no,no,1,3,7,11,1,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_you,yes_you
163,Tanzania,geita,female,Rwamgasa,Geita,under_30,yes,no,no,no,1,3,6,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
15,Tanzania,geita,female,Bukokwa,Sengerema,30_49,yes,no,no,no,1,2,4,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
374,Tanzania,geita,male,Magamba,Ngara,50_plus,yes,no,no,no,1,2,7,9,3,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_you
164,Tanzania,geita,female,Rwamgasa,Geita,30_49,yes,no,no,no,1,3,6,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
795,Tanzania,geita,male,Mtakuja,Geita,30_49,no,yes,yes,no,2,2,5,0,12,no_plan,confident,1,1,0,0,0,1,1,Useful,NA,0,no,yes_everyone,no_one
582,Tanzania,geita,female,Idoselo,Geita,50_plus,no,yes,no,no,1,2,2,0,12,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no_one,no_one
805,Tanzania,geita,female,Lwamgasa,Geita,under_30,no,no,no,yes,1,2,4,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,no_one,no_one
251,Tanzania,geita,female,Lwamgasa,Geita,30_49,yes,no,no,no,1,4,3,11,1,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
273,Tanzania,geita,female,Nhwi'ga,Nyangh'wale,30_49,yes,no,no,yes,2,3,7,9,3,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,no_one,yes_everyone
398,Tanzania,geita,female,Maghamba,Ngara,50_plus,no,no,no,yes,1,3,4,9,3,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,no_one,no_one
822,Tanzania,geita,female,Lwamgasa,Geita,30_49,no,no,yes,no,1,3,6,0,12,has_plan,confident,1,1,1,1,1,1,1,Useful,NA,0,yes,yes_everyone,no_one
428,Tanzania,geita,male,Nyarutembo,Chato,50_plus,yes,no,no,no,1,4,7,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
81,Tanzania,geita,male,Nhuiga,Nyang'wale,30_49,yes,no,yes,no,2,3,6,11,1,has_plan,confident,1,0,0,0,0,1,1,Useful,NA,1,NA,yes_everyone,no_one
300,Tanzania,geita,female,Nyarutembo,Chato,30_49,yes,no,no,no,1,2,4,10,2,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
16,Tanzania,geita,male,Bukokwa,Sengerema,30_49,yes,no,no,no,1,3,4,7,5,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
848,Tanzania,geita,female,Lubanga,Geita,50_plus,no,no,no,yes,1,3,4,4,8,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
379,Tanzania,geita,female,Nyarutembo,Chato,under_30,yes,no,no,no,1,3,6,12,0,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
194,Tanzania,geita,male,Bukabwa,Butiama,30_49,yes,yes,yes,no,3,3,9,7,5,has_plan,confident,1,0,1,1,0,1,1,Useful,NA,1,NA,yes_everyone,yes_everyone
835,Tanzania,geita,male,"Ishishang,holo",Sengerema,30_49,no,no,no,yes,1,2,5,0,12,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes_everyone,no_one
882,Tanzania,geita,female,mtakuja,Geita,50_plus,yes,no,no,no,1,3,5,8,4,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
88,Tanzania,geita,female,Nhwiga,Nyang'hwale,30_49,no,no,no,yes,1,3,4,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
6,Tanzania,geita,female,Magamba,Ngara,30_49,no,no,no,yes,1,2,4,12,0,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,yes_everyone,no_one
380,Tanzania,geita,male,magamba,Ngara,30_49,yes,no,no,no,1,2,6,7,5,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes_everyone,yes_everyone
629,Tanzania,geita,male,Idoselo,Geita,30_49,no,yes,yes,no,2,2,4,11,1,no_plan,confident,1,1,0,0,0,1,1,Useful,NA,0,NA,yes_everyone,no_one
224,Tanzania,geita,female,Nhuiga,Nyang'hwale,30_49,no,no,yes,no,1,3,5,10,2,has_plan,confident,1,0,0,0,0,1,1,Useful,NA,0,NA,yes_everyone,no_one
430,Tanzania,geita,male,Magamba,Ngara,under_30,yes,no,no,yes,2,2,4,0,12,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
800,Tanzania,geita,male,Lwamgasa,Geita.,50_plus,no,no,yes,no,1,2,3,0,12,no_plan,confident,1,0,0,1,0,1,0,Useful,NA,0,no,no_one,no_one
503,Tanzania,geita,male,Magamba,Ngara,50_plus,no,no,yes,no,1,2,3,0,12,no_plan,confident,1,1,1,1,1,1,1,Useful,NA,0,no,no_one,no_one
866,Tanzania,geita,female,Rwamgasa,Geita,under_30,no,no,yes,no,1,3,6,5,7,no_plan,confident,1,0,0,0,0,1,1,Useful,NA,0,no,yes_everyone,no_one
299,Tanzania,geita,male,Nyarutembo,Chato,50_plus,yes,no,no,no,1,2,3,11,1,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
857,Tanzania,geita,male,Mtakuja,Geita,30_49,no,yes,yes,no,2,2,4,4,8,has_plan,confident,1,0,0,1,0,1,0,Useful,NA,0,NA,yes_everyone,no_one
56,Tanzania,geita,male,Nhwiga,Nyang'wale,50_plus,yes,no,yes,no,2,3,8,10,2,no_plan,confident,1,1,1,0,0,1,0,Useful,NA,0,yes,yes_everyone,yes_everyone
382,Tanzania,geita,male,Nyarutembo,Chato,30_49,yes,no,no,no,1,2,5,10,2,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
166,Tanzania,geita,female,Lwamugasa,Geita,under_30,yes,no,no,no,1,3,5,12,0,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
381,Tanzania,geita,female,Magamba,Ngara,30_49,yes,no,no,no,1,2,6,5,7,no_plan,not_confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,yes_everyone
733,Tanzania,geita,male,Magamba,Ngara,under_30,no,no,yes,no,1,2,4,6,6,has_plan,confident,1,1,0,0,0,1,1,Useful,NA,0,no,yes_everyone,no_one
268,Tanzania,geita,female,Bukokwa,sengerema,30_49,yes,no,yes,no,2,3,8,7,5,has_plan,confident,1,1,1,0,0,0,1,Useful,NA,0,NA,yes_everyone,yes_everyone
447,Tanzania,geita,male,Magamba,Ngara,30_49,yes,no,no,no,1,2,2,7,5,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
153,Tanzania,geita,female,Nhwiga,Nyanghwale,30_49,no,no,yes,no,1,3,7,7,5,has_plan,confident,1,1,1,1,1,1,1,Useful,NA,0,NA,yes_everyone,no_one
894,Tanzania,geita,female,Lwamgasa,Geita,30_49,yes,no,no,no,1,3,6,8,4,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
891,Tanzania,geita,male,Bukokwa,Sengerema,30_49,no,no,yes,no,1,2,6,9,3,has_plan,confident,1,1,1,1,1,1,0,Useful,NA,0,NA,yes_everyone,no_one
375,Tanzania,geita,female,Nyarutembo,Chato,under_30,yes,no,no,no,1,3,7,12,0,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
23,Tanzania,geita,female,Bukokwa,Sengerema,under_30,yes,no,no,no,1,3,3,9,3,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
298,Tanzania,geita,female,Nyarutembo,Chato,under_30,yes,no,no,no,1,3,5,12,0,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
614,Tanzania,geita,male,Ishishang'holo,Sengerema,50_plus,yes,yes,no,no,2,2,4,5,7,no_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,no_one
76,Tanzania,geita,female,Nhwiga,Nyang'wale,30_49,yes,no,no,no,1,3,8,2,10,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes_everyone,yes_others
731,Tanzania,geita,male,Magamba,Ngara,30_49,no,no,yes,no,1,2,4,6,6,has_plan,confident,1,1,0,0,0,1,1,Useful,NA,1,yes,yes_everyone,no_one
852,Tanzania,geita,female,Mtakuja,Geita,30_49,yes,no,no,no,1,2,4,7,5,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes_everyone,no_one
46,Tanzania,geita,female,Nhwiga,Nyanga'hwale,50_plus,yes,no,no,no,1,3,5,6,6,has_plan,confident,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_one,no_one
